itemid,title,genres,rating,region
316,Tolip Golden Plaza Hotel,Hotel|moderate-price|Trendy|Pool,3.5,Cairo
317,President Hotel,Hotel|moderate-price|Pool,3,Cairo
318,Golden Park Hotel,Hotel|moderate-price|Family,3,Cairo
319,Eco Inn,Hotel|low-price|Trendy,4.5,Cairo
320,Capital Hotel,Hotel|low-price,3.5,Cairo
321,Azar Hotel,Hotel|low-price|Historic,4,Cairo
322,Glorious Hotel,Hotel|moderate-price|Luxury,4,Cairo
324,Sufi House,Hotel|low-price|Trendy,4.5,Cairo
325,New City Suites & Apartments,Hotel|low-price|Trendy,3,Cairo
326,Arabia Hotel,Hotel|moderate-price,4,Cairo
327,Swiss Inn Hotel Cairo,Hotel|moderate-price|Pool,3.5,Cairo
328,Mesho Inn Hostel,Hotel|moderate-price|Family,4,Cairo
329,Oasis Hotel,Hotel|low-price,5,Cairo
330,Grand Hotel,Hotel|moderate-price|Family|Pool,4.5,Cairo
331,Grand Hotel,Hotel|moderate-price|Pool,3.5,Cairo
332,King Tut Hostel,Hotel|low-price|Pool,4,Cairo
333,Sakan 275,Hotel|low-price|Trendy,4.5,Cairo
334,Cairo Inn,Hotel|moderate-price|Pool,3.5,Cairo
335,Arabesque Hotel,Hotel|low-price|Pool|family,3.5,Cairo
336,Om Kolthoom Hotel & Tower,Hotel|moderate-price|Pool|Luxury,3,Cairo
337,New Marina Hostel,Hotel|low-price,3,Cairo
338,Tolip Family Park Hotel,Hotel|moderate-price|Pool|Luxury|Family,3,Cairo
339,Pharaohs Palace Hostel,Hotel|low-price|Pool,3.5,Cairo
340,El Tonsy Hotel,Hotel|moderate-price|Pool,3.5,Cairo
341,Atlas Hotel,Hotel|moderate-price,3,Cairo
342,Nile Boutique,Hotel|moderate-price|Nile,3,Cairo
343,Colour Holidays,Hotel|low-price|Family ,4,Cairo
344,Nile Hunters Suites & Apt,Hotel|moderate-price|Nile,4,Cairo
345,New President Hotel Zamalek,Hotel|moderate-price,3.5,Cairo
346,Travelholic Hostel,Hotel|low-price,3,Cairo
347,Beirut Hotel,Hotel|low-price|Family|BabySitting,3,Cairo
348,Kirotel,Hotel|low-price,3,Cairo
349,Magy Hotel,Hotel|low-price,4,Cairo
350,Rehana Plaza Hotel,Hotel|moderate-price,3,Cairo
351,Maadi Hotel,Hotel|moderate-price|Pool,3,Cairo
352,Happy City Hotel,Hotel|moderate-price|Pool|Family,3,Cairo
353,Hostel Vienna,Hotel|low-price|Family|Pits ,3.5,Cairo
354,Monte Cairo Suites,Hotel|low-price|Family|Pool|BabySitting|Pits,3.5,Cairo
355,Milano Hostel,Hotel|low-price|Pool,3.5,Cairo
356,Ciao Cairo Hotel,Hotel|low-price,3,Cairo
357,Cairo Stars Hotel,Hotel|low-price,3,Cairo
358,Holidays Express,Hotel|moderate-price|Family|BabySitting|Luxury,3,Cairo
360,Caesar's Palace Hotel,Hotel|moderate-price|Family,3,Cairo
361,Chateau Lafayette,Hotel|moderate-price|Pool|Nile,3.5,Cairo
362,Triumph Hotel,Hotel|high-price|Luxury,3,Cairo
363,Mayorca Hotel,Hotel|low-price|Pool|Pits,3,Cairo
364,Santana Hotel,Hotel|low-price|Family ,3,Cairo
365,Dina's Hostel,Hotel|low-price|Pool,3,Cairo
366,King Hotel,Hotel|moderate-price|Pool,3,Cairo
367,Helnan Landmark Hotel,Hotel|moderate-price|Pool,3,Cairo
368,Town View Hotel,Hotel|low-price,3,Cairo
369,Concord Hotel,Hotel|low-price|Pool,3,Cairo
370,Cairo Khan Suites Hotel,Hotel|high-price|Pool,3,Cairo
371,Pharaoh Egypt Hotel,Hotel|moderate-price|Pool|BabySitting|Family,3,Cairo
372,Hotel Velvet 1928,Hotel|low-price,3,Cairo
373,Nile Plaza Hostel,Hotel|low-price|Family ,1.5,Cairo
374,Cairo View Hotel,Hotel|low-price|Trendy,3,Cairo
375,Sara Inn Hostel,Hotel|low-price|Family |Pool,4,Cairo
376,Dahab Hostel,Hotel|low-price,3,Cairo
377,Tolip El Galaa Hotel Cairo,Hotel|moderate-price|Pool|Luxury,3,Cairo
378,Kanzy Hotel,Hotel|low-price|Pool,2.5,Cairo
379,Nitocrisse,Hotel|low-price|Pool|family,3,Cairo
380,Royal Marshal Hotel,Hotel|moderate-price|Pool,3,Cairo
381,Louris Inn,Hotel|low-price,3,Cairo
382,Desert Moon,Hotel|moderate-price,2.5,Cairo
383,Grand Palace Hotel,Hotel|moderate-price,2.5,Cairo
384,Tolip Inn Maadi,Hotel|moderate-price|Pool|Luxury,2.5,Cairo
387,"Cairo Heart Hotel""",Hotel|low-price|Family|BabySitting,3,Cairo
388,Richmond House Hostel,Hotel|low-price|Pets,2.5,Cairo
389,Nile Zamalek Hotel,Hotel|low-price|Nile,3,Cairo
390,Hor Moheb Hotel,Hotel|low-price|Pool,2,Cairo
391,Garden View Hostel,Hotel|low-price|Family|BabySitting|Pits,2,Cairo
392,Golden Carven Hotel,Hotel|moderate-price|Trendy,3,Cairo
393,Grand Lyly Hotel,Hotel|low-price,1.5,Cairo
394,Bedouin Hostel,Hotel|low-price,2.5,Cairo
395,Oriental Hoste,Hotel|low-price|Trendy,3,Cairo
396,Cairo Hotel,Hotel|low-price,2.5,Cairo
397,Jamaica Hostel,Hotel|low-price|BabySitting|Pets|Family,2.5,Cairo
398,Regent House Hostel,Hotel|low-price|Pool,3,Cairo
399,Arabella,Hotel|moderate-price,2,Cairo
51,City Hostel,Hotel|low-price|Trendy,4,Cairo
56,Downtown inn,Hotel|low-price|Family ,3,Cairo
67,Dream Apartment,Hotel|high-price|Luxury,3,Cairo
75,Nasrcity Club House,Hotel|low-price ,2,Cairo
90,Nefertary Hostel,Hotel|high-price|Historic|Trendy,3,Cairo
91,Nour Elsabah Hotel,Hotel|low-price |Family,2.5,Cairo
109,Osiris House,Hotel|moderate-price|Historic|Trendy,4.5,Cairo
115,Panorama Hostel,Hotel|low-price,2.5,Cairo
120,Panorama Palace Hotel,Hotel|low-price,3,Cairo
127,"Prime Residence New Cairo""",Hotel|moderate-price,3,Cairo
128,The Square Boutique Hotel,Hotel|low-price,3.5,Cairo
134,Veltvet 1915,Hotel|low-price,3,Cairo
136,Wasatalbalad Inn,Hotel|low-price,3,Cairo
138,Welcome Arabesque,Hotel|low-price,2.5,Cairo
139,Nourhan’s hotel,Hotel|moderate-price|Family|Luxury|Pets,5,Cairo
142,yomna’s hotel,Hotel|moderate-price|Family|Trendy|BabySitting,5,Cairo
143,mariam’s hotel,Hotel|high-price|Historic|Trendy,5,Cairo
182,Zamalek Luxurious Apartments,Hotel|moderate-price|luxury,4,Cairo
192,4Ever,Hotel|high-price|luxury|Historic,4,Cairo
197,Alexandria Independent Adventure,trip|high-price|sea|long,4,Alexandria
210,"Private Tour: Giza Pyramids, Sphinx, Memphis, Sakkara",trip|moderate-price|ancientEgypt|ride|short,4,Cairo
212,Private Tour: Giza Pyramids and Sphinx,trip|low-price|ancientEgypt|ride|short,3.5,Cairo
221,"Luxor West Bank Private Valley of the Kings, Hatshepsut Temple",trip|moderate-price|ancientEgypt|short,4,Luxor
226,Nile River Dinner Cruise in Cairo,trip|moderate-price|cruise|short,3,Cairo
284,Pyramids Sound and Light Show with Private Transport,trip|low-price|ancientEgypt|short,3.5,Cairo
286,Private Tour: Egyptian Museum,trip|low-price|ancientEgypt|short,3,Cairo
297,"Full-Day Tour to Giza Pyramids, Memphis, and Sakkara",trip|low-price|ancientEgupt|fullDay,4,Cairo
298,"Private Tour: Alabaster Mosque, Sultan Hassan, Khan el-Khalili",trip|low-price|ancientEgypt|fullDay,3,Cairo
310,Private Tour: Alexandria Day Trip from Cairo,trip|high-price|sea|fullDay,4.5,Cairo
311,Private Tour: Abu Simbel by Minibus from Aswan,trip|high-price|cruise|ancientEgypt|fullDay,4,Aswan
323,Quad Biking in the Egyptian Desert from Sharm el Sheikh,trip|low-price|ride|short,2.5,Sharm
359,Day Trip to Cairo by Bus,trip|moderate-price|ancientEgypt|fullDay,3.5,Cairo
385,Red Sea Snorkeling,trip|low-price|snorkling|fullDay,4,Hurghada
386,"Giza, Saqqara, Dahshur, Cairo 2-Day All-Inclusive Private Tour",trip|high-price|ancientEgypt|long,4.5,Cairo
400,Private Tour: Memphis and Sakkara,trip|moderate-price|ancientEgypt|ride|short,3.5,Cairo
401,"Coptic Cairo Private Tour: Hanging Church, Abu Serga, Ben Ezra",trip|moderate-price|ancientEgypt|short,4,Cairo
402,Tiran Island Cruise and Snorkeling,trip|moderate-price|snorkling|cruise|fullDay,5,Sharm
403,Morning Alexandria Day Tour from Cairo,trip|low-price|sea|fullDay,3,Alexandria
404,Nile River 3-Hour Buffet Dinner Cruise with Tanoura Sufi Show,trip|low-price|cruise|short,3.5,Cairo
405,Cairo Sightseeing by Night Private Guided Tour,trip|low-price|ancientEgypt|short,4,Cairo
406,Ras Mohamed Red Sea Cruise and Snorkeling,trip|moderate-price|ancientEgypt|fullDay,4.5,Ras Mohamed
407,Hot Air Balloon Flight Over Luxor West Bank and Nile River,trip|high-price|parsailing|short,4,Luxor
408,Quad Bike Safari in Hurghada,trip|low-price|ride|safari|short,4.5,Hurghada
409,"Giza, Dahshur, Saqqara and Memphis Pyramids Private Day Trip",trip|low-price|ancientEgypt|short,4,Cairo
410,Private Tour: Abu Simbel Flight and Tour from Aswan,trip|high-price|ancientEgypt|short,3,Aswan
412,Glass Bottom Boat Cruise and Coral Reef Viewing,trip|low-price|cruise|snorkling|short,4.5,Sharm
413,Nile Dinner Cruise with Belly Dancing and Hotel Transfer,trip|low-price|cruise|short,2.5,Cairo
414,Day Trip to Luxor from Hurghada with Hotel Pickup and Lunch,trip|moderate-price|ancientEgypt|fullDay,3.5,Hurghada
415,Cairo with Egyptian Museum and Khan Khalili Bazaar Day Tour,trip|moderate-price|ancientEgypt|fullDay,4,Cairo
416,Quad Biking in the Egyptian Desert from Hurghada,trip|low-price|ride|safari|short,5,Hurghada
417,Private Tour: Dendara and Abydos,trip|moderate-price|ancientEgypt|fullDay,4.5,Luxor
418,Day Trip to Luxor from Cairo by Plane with Lunch,trip|high-price|ancientEgypt|fullDay,4.2,Cairo
419,"Mt Sinai, St Catherine's Monastery Private with Sunrise Hike",trip|moderate-price|climb|fullDay,3.4,Sharm
420,Private Tour: Hurghada City Sightseeing,trip|low-price|sea|short,3.2,Hurghada
421,River Nile Felucca Sunset Sail 1-Hour Evening Tour in Cairo,trip|low-price|cruise|short,3,Cairo
422,Bedouin BBQ in the Egyptian Desert by 4x4,trip|low-price|safari|fullDay,3.5,Hurghada
423,Full Day Tour to East and West Banks of Luxor,trip|moderate-price|ancienEgypt|fullDay,2.7,Luxor
424,Camel Safari with Optional Bedouin Dinner,trip|moderate-price|ride|safari|short,4,Sharm
425,Cairo Half-Day Downtown Tour Including Egyptian Dinner,trip|low-price|ancientEgypt|short,2.8,Cairo
426,Sinbad Submarine Under The Red Sea,trip|moderate-price|submarine|snorkling|short,4.2,Hurghada
427,Tour to Luxor from Hurghada,trip|moderate-price|ancientEgypt|fullDay,5,Hurghada
428,Private Tour: Pharaonic Village,trip|low-price|ancientEgypt|short,4.5,Cairo
429,Private Tour: Dendara from Luxor,trip|low-price|fullDay|ancientEgypt,5,Luxor
431,Hurghada Daily Scuba Dive Trip,trip|moderate-price|diving|sea|fullDay,4.3,Hurghada
432,"Nile River Dinner Cruise with Cultural Show, Private Transfers",trip|cruise|short|low-price,4.6,Cairo
433,3 Days nile cruise ,trip|cruise|ancientEgypt|high-price|long,4,Luxor
434,from Hurghada full day tour to Alex,trip|sea|short|low-price,5,Hurghada
435,Dahab full day ,trip|moderate-price|ride|safari|fullDay,4.5,Dahab
436,maadi cruise day ,trip|low-price|cruise|fullDay,4,Cairo
437,pyramids and museums trip,trip|low-price|ancientEgypt|safari|fullDay,5,Cairo
438,Hurghada desert safari,trip|low-price|ride|safari|short,4.5,Hurghada
439,snorkling marsa allam,trip|low-price|snorkling|short,4,Marsa Alam
440,Dolphin Spotting Cruise from El Gouna,trip|moderate-price|cruise|short,4,Hurghada
441,Private Tour to Abu Simbel Temples by Vehicle from Aswan,trip|low-price|ride|ancientEgypt|short,4.5,Aswan
442, salah eldeen citadelle,trip|low-price|ancientEgypt|fullDay,4,Cairo
443,elmoez street and ancient masjids,trip|low-price|ancientEgypt|fullDay,5,Cairo
444,Temples of King Ramses and flight from Aswan,trip|high-price|ancientEgypt|long,4.5,Aswan
445,Private Guided Half-Day Tour to Dahshur from Cairo,trip|moderate-price|ancientEgypt|short,4.5,Cairo
446,Dendera and Abydos Temples Private Full-Day Tour from Luxor,trip|moderate-price|ancientEgypt|fullDay,4,Luxor
447,Private Day Tour to Aswan ,trip|high-price|ancientEgypt|fullDay,4,Luxor
448,Day tour to St Catherine Day Tour from Taba in Egypt,trip|moderate-price|climb|fullDay,4.5,Cairo
449,Day tour to Edfu from luxor,trip|high-price|ancientEgypt|fullDay,3,Luxor
450,Lake Nasser Fishing Safari Trip,trip|high-price|safari|ride|fullDay,3.5,Luxor
451,Egypt Highlights from Marsa alam,trip|high-price|safari|ancientEgypt|long,3.5,Marsa Alam
452,Trip to Abu Simbel & Aswan ,trip|high-price|ancientEgypt|fullDay,4,Aswan
453,Alex archeological day tour,trip|low-price|ancientEgypt|fullDay,4,Alexandria
454,Ras shetan day camp,trip|moderate-price|diving|ride|fullDay,4,Dahab
455,Aswan 3 days,trip|high-price|cruise|ancientEgypt|long,3.5,Cairo
456,Luxor  tour,trip|short-price|cruise|ancientEgypt|fullDay,3.5,Luxor
457,luxor 3 days,trip|high-price|cruise|ancientEgypt|long,4,Cairo
458,saint catherine trip,trip|high-price|cruise|ancientEgypt|long,3,Dahab
459,Nourhan�s trip,trip|moderate-price|climb|safari|fullDay,5,Dahab
460,yomna�s trip,trip|moderate-price|diving|parsailing|fullDay,5,Cairo
461,Mariam�s trip,trip|high-price|ancientEgypt|cruise|fullDay,5,Cairo
430,from Hurghada full day tour to dahab,trip|sea|diving|snorkling|moderate-price|fulDay,4.5,Hurghada
411,Dahab half day  trip,trip|low-price|safari|short,4.5,Dahab
462,zamalek cruise day ,trip|low-price|cruise|fullDay,4,Cairo
463,ancient Egypt  day,trip|low-price|ancientEgypt|fullDay,5,Cairo
464,fayoum desert safari,trip|moderate-price|ride|safari|short,4.5,Fayoum
465,snorkling day,trip|moderate-price|snorkling|short,4,Cairo
466,Nile  Cruise from El Gouna,trip|moderate-price|cruise|fullDay,4,Hurghada
467,Private Tour to Abu Simbel Temples ,trip|moderate-price|ride|ancientEgypt|fullDay,4.5,Aswan
468,egyptian museums ,trip|low-price|ancientEgypt|fullDay,4,Cairo
469,wadi elrayan  trip,trip|low-price|safari|parsailing|ride|fullDay,5,Fayoum
470,fahd temple and nile cruise,trip|moderate-price|ancientEgypt|cruise|short,4.5,Luxor
471,camal ride and safari in pyramids,trip|moderate-price|ancientEgypt|safari|short,4.5,Cairo
472,Dahab 3 days trip,trip|moderate-price|sea|snorkling|long,4,Cairo
473,Private Day Tour to Aswan ,trip|low-price|ancientEgypt|fullDay,4,Aswan
474,faloka nile trip,trip|low-price|short,4,Cairo
475,Wadi el natron and pyramids full day trip,trip|moderate-price|ancientEgypt|fullDay,3.5,Cairo
476,maspero�s hotel,Hotel|high-price|Nile,2.5,Cairo
477,four seasons resort sharm elsheikh,Hotel|high-price|Family|Luxury,4,Sharm
478,the operoi sahl hasheesh,Hotel|high-price|Family|BabySitting|Luxury,5,Hurghada
479,Albatros white beach,Hotel|moderate-price|Family|Trendy,5,Hurghada
480,Kempiniski hotel,Hotel|high-price|Family|Luxury,5,Hurghada
481,ElNile Ritz carliton,Hotel|high-price|Family|Nile|Luxury,5,Cairo
482,Steigenberger,Hotel|high-price|Nile|Luxury,5,Hurghada
483,Mariot mena house,Hotel|high-price|Luxury|Trendy,5,Hurghada
484,Jaz maadi star and spa,Hotel|high-price|Luxury|Family,5,Hurghada
485,Nubian village aqua hotel,Hotel|high-price|Luxury|Family,5,Sharm
486,mashweyat abo tarek ,Restaurant|Egyptian,3,Cairo
487,nimo restaurant,Restaurant|Seafood|Vegetarian Friendly,3.5,Dahab
488,itskebda,Restaurant|Egyptian,4,Cairo
489,Elmarakbi,Restaurant|Seafood,4,Alexandria
490,sea foods,Restaurant|Seafood,4,Cairo
491,American dinner,Restaurant|Cafe|American,3.5,Cairo
492,Bekia�s restaurant and cafe,Restaurant|Cafe,4,Dahab
493,Yomna�s restaurnat,Restaurant|Seafood|Vegetarian Friendly|Cafe,5,Cairo
494,Mariam�s restaurant,Restaurant|Seafood|Vegetarian Friendly,5,Cairo
495,Nourhan�s restaurant,Restaurant|Cafe|Mediterranean|Vegetarian Friendly,5,Cairo
496,pizza master,Restaurant|Seafood|Egyptian,4,Cairo
497,pizza king,Restaurant|Pizza|Egyptian,4.5,Cairo
498,Mazag,Restaurant|Nile|Egyptian,4,Cairo
499,Bab rezk,Restaurant|Egyptian,4,Cairo
500,Roberto's Italian Restaurant,Restaurant|Egyptian,5,Alexandria
501,Balbaa Village,Restaurant|Seafood,4,Alexandria
502,Fish Market,Restaurant|Seafood,4,Alexandria
503,White and Blue Restaurant,Restaurant|Seafood,4,Alexandria
504,Santorini Greek Restaurant,Restaurant|Seafood,5,Alexandria
505,wadi el hitan adventurous trip,trip|safari|ride|diving,4,Fayoum
506,Ginger,Restaurant|Asian,4.5,Alexandria
507,Sea Gull,Restaurant|Seafood,4.5,Alexandria
508,Chez Gaby,Restaurant|Italian,4,Alexandria
509,Fresca| Four Seasons Alexandria at San Stefano,Restaurant|Italian,4.5,Alexandria
510,Roastery coffee,Restaurant|Cafe|Vegetarian Friendly,4,Alexandria
511,Zephere Sea Food,Restaurant|Seafood,4.5,Alexandria
512,Abd El Wahab Village,Restaurant|Mediterranean,4.5,Alexandria
513,Alban Swissra,Restaurant|Egyptian,4.5,Alexandria
514,Tejano's Mexican Grill,Restaurant|Mexican|Vegetarian Friendly,5,Alexandria
515,Fish Market,Restaurant|Seafood|Mediterranean,4,Alexandria
516,Byblos Restaurant,Restaurant|Mediterranean,4.5,Alexandria
517,Hosny,Restaurant|Egyptian,4,Alexandria
518,Tamara Lebanese Bistro,Restaurant|Vegetarian Friendly,4.5,Alexandria
519,Farag Fish,Restaurant|Seafood|Mediterranean|Egyptian,4.5,Alexandria
520,Tikka Grill,Restaurant|Egyptian,4,Alexandria
521,Arous El Bahr Fish Restaurant,Restaurant|Seafood|Mediterranean|Egyptian,4,Alexandria
522,Latino,Restaurant|Cafe|Mediterranean|Vegetarian Friendly,4,Alexandria
523,Santa Lucia Restaurant,Restaurant|Mediterranean,4,Alexandria
524,Samakmak,Restaurant|Seafood|Mediterranean|Egyptian,4,Alexandria
525,Balady gourmet,Restaurant|Mediterranean|Egyptian,5,Alexandria
526,Gad Restaurants,Restaurant|Egyptian,4.5,Alexandria
527,7 Seas Fish Restaurant,Restaurant|Seafood|Mediterranean|Egyptian,4.5,Alexandria
528,Gad,Restaurant|Egyptian,4,Alexandria
529,Ole Cafe Espaniol,Restaurant|Cafe|Vegetarian Friendly,4.5,Alexandria
530,Minouche Pizza,Restaurant|Italian|Vegetarian Friendly|Pizza,4,Alexandria
531,NEO Lounge Alexandria,Restaurant|Mediterranean|Asian,5,Alexandria
532,Bruxie's EGYPT,Restaurant|Vegetarian Friendly,4.5,Alexandria
532,Jars & Jazz,Restaurant|Vegetarian Friendly,4.5,Alexandria
533,Stefano's Restaurant,Restaurant|Mediterranean| Italian,4.5,Alexandria
534,Jungle,Restaurant|Mediterranean| Egyptian,4,Alexandria
535,Spitfire Bar,Restaurant|Cafe,4.5,Alexandria
536,Kadoura Restaurant,Restaurant|Seafood|Mediterranean,4,Alexandria
537,Hosny For B.B.Q & Seafood,Restaurant|Seafood,4,Alexandria
538,Ibn Hamido,Restaurant|Seafood|Mediterranean|Egyptian ,4,Alexandria
539,China House,Restaurant|Asian,4,Alexandria
540,El Fallah Restaurant,Restaurant|Mediterranean,4.5,Alexandria
541,Fish Island,Restaurant|Seafood|Mediterranean,4.5,Alexandria
542,Potasta,Restaurant|Vegetarian Friendly,5,Alexandria
543,Holmes Burgers,Restaurant|Mediterranean,4.5,Alexandria
544,San Giovanni restaurant,Restaurant|Seafood| Mediterranean,4,Alexandria
545,Starbucks,Restaurant|Cafe|Vegetarian Friendly,4.5,Alexandria
546,Karam Beirut,Restaurant|Mediterranean,4.5,Alexandria
547,Fish Market,Restaurant|Seafood|Mediterranean,4,Alexandria
548,Kadoura,Restaurant|Seafood|Mediterranean|Egyptian,4,Alexandria
549,Zephyrion Fish,Restaurant|Seafood|Mediterranean,4,Alexandria
550,Carlos Cafe,Restaurant|Cafe,4.5,Alexandria
551,Abou El Sid Restaurant,Restaurant|Egyptian|Mediterranean,4,Alexandria
552,La Veranda,Restaurant|Egyptian,4.5,Alexandria
553,Zanilli's Cafe & Restaurant Montazah,Restaurant|Mediterranean|Cafe|Vegetarian Friendly,3.5,Alexandria
554,Gad Restaurants,Restaurant|Vegetarian Friendly,4,Alexandria
555,Calithea Restaurant,Restaurant|Mediterranean,4.5,Alexandria
556,China House,Restaurant|Asian,4,Alexandria
557,Grand Cafe',Restaurant| Cafe|Mediterranean|Middle Eastern,4,Alexandria
558,Nutellopia,Restaurant|Cafe|Mediterranean|Egyptian,4.5,Alexandria
559,Atheneos,Restaurant|Cafe|Mediterranean|Egyptian,4,Alexandria
560,Flying Carpet,Restaurant|Vegetarian Friendly,4.5,Taba
561,Nelson Restaurant & Bar,Restaurant|Seafood,5,Taba
562,Castle Zaman,Restaurant|Mediterranean,4.5,Taba
563,El Fuego,Restaurant|Mexican,4.5,Taba
564,Casa Taba Restaurant,Restaurant|Italian|Vegetarian Friendly,4.5,Taba
565,Chez Pascal,Restaurant|French,4.5,Taba
566,Sea Shells,Restaurant|Seafood|Mediterranean,4.5,Taba
567,Marhaba Restaurant,Restaurant|Mediterranean,4.5,Taba
568,Shahrazad,Restaurant|Mediterranean,5,Taba
569,L'Asiatique,Restaurant|Asian,4.5,Taba
570,Regatta Club,Restaurant|Mediterranean,4,Taba
571,Lagoon Restaurant,Restaurant|Mediterranean,5,Taba
572,Olive Branch Restaurant,Restaurant|Mediterranean,5,Taba
573,Retro Cafe,Restaurant|Italian|Cafe,5,Taba
574,Crepiano Restaurant,Restaurant|Mediterranean,4,Taba
575,Mandarin Bistro,Restaurant|Asian|Vegetarian Friendly,5,Sharm
576,El Kababgy,Restaurant|Egyptian|Vegetarian Friendly,5,Sharm
577,House of Spice,Restaurant|Asian|Vegetarian Friendly,5,Sharm
578,The Queen Vic,Restaurant|Bar|Vegetarian Friendly,4.5,Sharm
579,Luxor,Restaurant|Mediterranean|Egyptian|Vegetarian Friendly,5,Sharm
580,Boharat Restaurant,Restaurant|Mediterranean|Egyptian|Vegetarian Friendly,5,Sharm
581,Bombay,Restaurant|Asian|Vegetarian Friendly,4.5,Sharm
582,Sushi Lounge,Restaurant| Asian|vegetarian Friendly,4.5,Sharm
583,Rangoli,Restaurant|Asian|Vegetarian Friendly,5,Sharm
584,Fusion 21,Restaurant|Mediterranean|Vegetarian Friendly,4.5,Sharm
585,"Da Mauro ""Solo Pasta&Pizza""",Restaurant|Italian|Mediterranean|Vegetarian Friendly|Pizza,5,Sharm
586,The Blue Fountain,Restaurant|vegetarian Friendly ,5,Sharm
587,Cafe Chino,Restaurant|Mediterranean|Cafe|Vegetarian Friendly,4.5,Sharm
588,L'entrecote Steak House,Restaurant|Mediterranean,4.5,Sharm
589,Mai Thai,Restaurant|Asian|Vegetarian Friendly,4.5,Sharm
590,Casa Mia,Restaurant|Italian|Mediterranean|Vegetarian Friendly,4.5,Sharm
591,Farsha Cafe,Restaurant|Bar|Cafe|Egyptian|Vegetarian Friendly,4.5,Sharm
592,Zen Chinese Restaurant - SOHO Square Sharm El Sheikh,Restaurant|Asian|Vegetarian Friendly,4.5,Sharm
593,Il Vizietto Italian Restaurant - Pizza,Restaurant|Italian|Mediterranean|Vegetarian Friendly|Pizza,4.5,Sharm
594,Camel Bar & Roof,Restaurant| Bar|Vegetarian Friendly,4.5,Sharm
595,Alhambra Cafe & Restaurant,Restaurant|Italian|Mediterranean|Vegetarian Friendly|Cafe,5,Sharm
596,Hard Rock Cafe Nabq ,Restaurant|American|Bar|Vegetarian Friendly,4.5,Sharm
597,Fish Market,Restaurant|Seafood |Mediterranean|Egyptian,4.5,Sharm
598,Fairuz,Restaurant|Mediterranean|Vegetarian Friendly,4.5,Sharm
599,Jive 1 Bar,Restaurant|Bar,4.5,Sharm
600,Union Jack Bar and Restaurant,Restaurant|Bar,4.5,Sharm
601,Sala Thai Restaurant,Restaurant|Asian|Vegetarian Friendly,4.5,Sharm
602,Nino's Italian Restaurant ,Restaurant|Italian,4.5,Sharm
603,Tandoori,Restaurant|Asian,4.5,Sharm
604,Arab Bucks,Restaurant|Italian|Cafe|Seafood|Mediterranean,5,Sharm
605,Hard Rock Cafe Sharm El Sheikh,Restaurant|American|Bar|Vegetarian Friendly,4,Sharm
606,Teppanyaki,Restaurant|Asian ,4.5,Sharm
607,Fares Seafood - IL Mercato,Restaurant|Mediterranean|Seafood|Egyptian,4.5,Sharm
608,Bus Stop Lounge ,Restaurant|Bar,4.5,Sharm
609,Dananeer,Restaurant|Mediterranean|Seafood|Egyptian,4.5,Sharm
610,El Fanar,Restaurant|Mediterranean|Seafood|Vegetarian Friendly,4.5,Sharm
611,Fares Seafood,Restaurant|Mediterranean|Seafood |Vegetarian Friendly,4.5,Sharm
612,El Masrien Grill Restaurant,Restaurant|Mediterranean|Vegetarian Friendly,4,Sharm
613,McDonald's ,Restaurant|American|Fast Food,4,Sharm
614,Little Buddha,Restaurant|vegetarian Friendly|Asian,4,Sharm
615,Fleur De Lis,Restaurant|French,4.5,Sharm
616,Natraj Indian Restaurant & Lounge,Restaurant|Asian,4.5,Sharm
617,Akuna Matata,Restaurant|Mediterranean|Seafood|Vegetarian Friendly,4.5,Sharm
618,McDonald's Naama Bay,Restaurant|American ,4,Sharm
619,The Lounge,Restaurant|Bar,4.5,Sharm
620,Makai Tukai ,Restaurant|Asian,5,Sharm
621,La Fleur,Restaurant|European,5,Sharm
622,Onions,Restaurant|Italian|Seafood|Mediterranean|Egyptian,4,Sharm
623,White Elephant Thai Restaurant and Sushi Bar ,Restaurant|Asian|Vegetarian Friendly,,Sharm
624,Pharaoh Cafe,Restaurant|Cafe|Bar,4.5,Sharm
625,Sadiki Cafe,Restaurant|Cafe|Vegetarian Friendly,4.5,Sharm
626,Caligula Hot Rock,Restaurant|Mediterranean,4.5,Sharm
627,La Pentolaccia,Restaurant|Italian|Mediterranean|Vegetarian Friendly,4.5,Sharm
628,Palm Lounge Cafe,Restaurant|Cafe|Bar,4.5,Sharm
629,Bar1 ,Restaurant|Mediterranean,4.5,Sharm
630,La Rose Restaurant Oriental & Seafood,Restaurant|Mediterranean|Seafood,4.5,Sharm
631,Fares Seafood Restaurant,Restaurant|Seafood|Egyptian|Mediterranean,4.5,Sharm
632,Rosmarino,Restaurant|Italian|Mediterranean|Vegetarian Friendly,4.5,Sharm
633,View Lounge,Restaurant|Bar,5,Sharm
634,Mandarin Bistro,Restaurant|Asian,5,Sharm
635,House of Spice,Restaurant|Asian|Vegetarian Friendly,5,Sharm
636,El Kababgy,Restaurant|Egyptian,5,Sharm
637,The Queen Vic,Restaurant|Bar,4.5,Sharm
638,Boharat Restaurant,Restaurant|Mediterranean|Egyptian ,5,Sharm
639,Luxor,Restaurant|Mediterranean|Egyptian,5,Sharm
640,Bombay,Restaurant|Asian,4.5,Sharm
641,Rangoli,Restaurant|Asian|Vegetarian Friendly,5,Sharm
642,Sushi Lounge,Restaurant|Asian,4.5,Sharm
